stationId,polluant,valeur,date,heure
3,"SO2",1,"2025-02-01",0
3,"O3",24,"2025-02-01",0
3,"NO2",1,"2025-02-01",0
3,"PM",6,"2025-02-01",0
6,"SO2",1,"2025-02-01",0
6,"O3",22,"2025-02-01",0
6,"NO2",1,"2025-02-01",0
6,"PM",6,"2025-02-01",0
17,"O3",21,"2025-02-01",0
17,"NO2",1,"2025-02-01",0
17,"PM",8,"2025-02-01",0
28,"CO",1,"2025-02-01",0
28,"O3",19,"2025-02-01",0
28,"NO2",2,"2025-02-01",0
28,"PM",6,"2025-02-01",0
31,"SO2",1,"2025-02-01",0
31,"CO",1,"2025-02-01",0
31,"O3",20,"2025-02-01",0
31,"NO2",3,"2025-02-01",0
31,"PM",7,"2025-02-01",0
50,"PM",7,"2025-02-01",0
55,"CO",1,"2025-02-01",0
55,"O3",22,"2025-02-01",0
55,"NO2",1,"2025-02-01",0
55,"PM",7,"2025-02-01",0
66,"O3",21,"2025-02-01",0
66,"NO2",2,"2025-02-01",0
66,"PM",7,"2025-02-01",0
80,"SO2",1,"2025-02-01",0
80,"O3",22,"2025-02-01",0
17,"PM",6,"2025-02-01",12
28,"CO",1,"2025-02-01",12
28,"O3",21,"2025-02-01",12
28,"NO2",1,"2025-02-01",12
28,"PM",15,"2025-02-01",12
31,"SO2",1,"2025-02-01",12
31,"CO",1,"2025-02-01",12
31,"O3",22,"2025-02-01",12
31,"NO2",2,"2025-02-01",12
31,"PM",6,"2025-02-01",12
50,"PM",5,"2025-02-01",12
55,"CO",1,"2025-02-01",12
55,"O3",23,"2025-02-01",12
55,"NO2",1,"2025-02-01",12
55,"PM",5,"2025-02-01",12
66,"O3",23,"2025-02-01",12
66,"NO2",1,"2025-02-01",12
66,"PM",6,"2025-02-01",12
80,"SO2",1,"2025-02-01",12
80,"O3",21,"2025-02-01",12
80,"NO2",1,"2025-02-01",12
80,"PM",6,"2025-02-01",12
99,"SO2",1,"2025-02-01",12
99,"O3",23,"2025-02-01",12
99,"NO2",1,"2025-02-01",12
99,"PM",6,"2025-02-01",12
103,"O3",21,"2025-02-01",12
103,"NO2",2,"2025-02-01",12
103,"PM",24,"2025-02-01",12
17,"NO2",1,"2025-02-01",12
3,"O3",22,"2025-02-01",18
3,"NO2",2,"2025-02-01",18
3,"PM",8,"2025-02-01",18
6,"SO2",1,"2025-02-01",18
6,"O3",18,"2025-02-01",18
