STATION,AVERAGE INDEX,LONGITUDE,LATITUDE,geometry,index_right,CODEID,NOM,NOM_OFFICI,CODEMAMH,CODE_3C,NUM,ABREV,TYPE,COMMENT,DATEMODIF
3,7.947368421052632,-73.499682,45.641026,POINT (-73.499682 45.641026),27,11,Rivière-des-Prairies-Pointe-aux-Trembles,Rivière-des-Prairies–Pointe-aux-Trembles,REM33,RDP,19,RP,Arrondissement,,2023-11-29
6,7.921052631578948,-73.558874,45.602846,POINT (-73.558874 45.602846),13,34,Anjou,Anjou,REM09,ANJ,9,AJ,Arrondissement,,2023-11-29
17,9.56140350877193,-73.637328,45.593325,POINT (-73.637328 45.593325),20,8,Montréal-Nord,Montréal-Nord,REM16,MTN,16,MN,Arrondissement,,2023-11-29
28,8.894736842105264,-73.663913,45.502648,POINT (-73.663913 45.502648),23,12,Mont-Royal,Mont-Royal,66072,VMR,2,MR,Ville liée,,2023-11-29
31,6.168421052631579,-73.566842,45.512189,POINT (-73.566842 45.512189),30,13,Ville-Marie,Ville-Marie,REM19,VIM,20,VM,Arrondissement,,2023-11-29
50,5.684210526315789,-73.540388,45.539928,POINT (-73.540388 45.539928),16,16,Mercier-Hochelaga-Maisonneuve,Mercier–Hochelaga-Maisonneuve,REM22,MHM,23,MH,Arrondissement,,2023-11-29
55,7.434210526315789,-73.573896,45.651722,POINT (-73.573896 45.651722),27,11,Rivière-des-Prairies-Pointe-aux-Trembles,Rivière-des-Prairies–Pointe-aux-Trembles,REM33,RDP,19,RP,Arrondissement,,2023-11-29
66,9.666666666666666,-73.741185,45.468297,POINT (-73.741185 45.468297),29,7,Saint-Laurent,Saint-Laurent,REM15,VSL,15,LR,Arrondissement,,2023-11-29
80,7.263157894736843,-73.572039,45.542767,POINT (-73.572039 45.542767),4,18,Rosemont-La Petite-Patrie,Rosemont–La Petite-Patrie,REM24,RPP,25,RO,Arrondissement,,2023-11-29
99,7.723684210526316,-73.928944,45.426509,POINT (-73.928944 45.426509),8,31,Sainte-Anne-de-Bellevue,Sainte-Anne-de-Bellevue,66117,SAB,76,BV,Ville liée,,2023-11-29
103,12.456140350877194,-73.582583,45.464611,POINT (-73.582583 45.464611),15,14,Le Sud-Ouest,Le Sud-Ouest,REM20,LSO,21,SO,Arrondissement,Il est important de noter que la limite située sur la falaise Saint-Jacques n'est pas officielle. Cette limite est à préciser.,2023-11-29
