LONGITUDE,LATITUDE,geometry,index_right,CODEID,NOM,NOM_OFFICI,CODEMAMH,CODE_3C,NUM,ABREV,TYPE,COMMENT,DATEMODIF
-73.563324,45.606483,POINT (-73.563324 45.606483),13,34,Anjou,Anjou,REM09,ANJ,9,AJ,Arrondissement,,2023-11-29
-73.653312,45.540928,POINT (-73.653312 45.540928),28,17,Ahuntsic-Cartierville,Ahuntsic-Cartierville,REM23,AHU,24,AC,Arrondissement,,2023-11-29
-73.653312,45.540928,POINT (-73.653312 45.540928),28,17,Ahuntsic-Cartierville,Ahuntsic-Cartierville,REM23,AHU,24,AC,Arrondissement,,2023-11-29
-73.65481,45.552676,POINT (-73.65481 45.552676),28,17,Ahuntsic-Cartierville,Ahuntsic-Cartierville,REM23,AHU,24,AC,Arrondissement,,2023-11-29
-73.65481,45.552676,POINT (-73.65481 45.552676),28,17,Ahuntsic-Cartierville,Ahuntsic-Cartierville,REM23,AHU,24,AC,Arrondissement,,2023-11-29
-73.642792,45.541031,POINT (-73.642792 45.541031),28,17,Ahuntsic-Cartierville,Ahuntsic-Cartierville,REM23,AHU,24,AC,Arrondissement,,2023-11-29
-73.642792,45.541031,POINT (-73.642792 45.541031),28,17,Ahuntsic-Cartierville,Ahuntsic-Cartierville,REM23,AHU,24,AC,Arrondissement,,2023-11-29
-73.72589,45.531689,POINT (-73.72589 45.531689),28,17,Ahuntsic-Cartierville,Ahuntsic-Cartierville,REM23,AHU,24,AC,Arrondissement,,2023-11-29
-73.72589,45.531689,POINT (-73.72589 45.531689),28,17,Ahuntsic-Cartierville,Ahuntsic-Cartierville,REM23,AHU,24,AC,Arrondissement,,2023-11-29
-73.664778,45.548862,POINT (-73.664778 45.548862),28,17,Ahuntsic-Cartierville,Ahuntsic-Cartierville,REM23,AHU,24,AC,Arrondissement,,2023-11-29
-73.664778,45.548862,POINT (-73.664778 45.548862),28,17,Ahuntsic-Cartierville,Ahuntsic-Cartierville,REM23,AHU,24,AC,Arrondissement,,2023-11-29
-73.664778,45.548862,POINT (-73.664778 45.548862),28,17,Ahuntsic-Cartierville,Ahuntsic-Cartierville,REM23,AHU,24,AC,Arrondissement,,2023-11-29
-73.664778,45.548862,POINT (-73.664778 45.548862),28,17,Ahuntsic-Cartierville,Ahuntsic-Cartierville,REM23,AHU,24,AC,Arrondissement,,2023-11-29
-73.660453,45.565295,POINT (-73.660453 45.565295),28,17,Ahuntsic-Cartierville,Ahuntsic-Cartierville,REM23,AHU,24,AC,Arrondissement,,2023-11-29
-73.660453,45.565295,POINT (-73.660453 45.565295),28,17,Ahuntsic-Cartierville,Ahuntsic-Cartierville,REM23,AHU,24,AC,Arrondissement,,2023-11-29
-73.678763,45.538203,POINT (-73.678763 45.538203),28,17,Ahuntsic-Cartierville,Ahuntsic-Cartierville,REM23,AHU,24,AC,Arrondissement,,2023-11-29
-73.678763,45.538203,POINT (-73.678763 45.538203),28,17,Ahuntsic-Cartierville,Ahuntsic-Cartierville,REM23,AHU,24,AC,Arrondissement,,2023-11-29
-73.678763,45.538203,POINT (-73.678763 45.538203),28,17,Ahuntsic-Cartierville,Ahuntsic-Cartierville,REM23,AHU,24,AC,Arrondissement,,2023-11-29
