STATION,AVERAGE INDEX,LONGITUDE,LATITUDE
3,7.947368421052632,-73.499682,45.641026
6,7.921052631578948,-73.558874,45.602846
17,9.56140350877193,-73.637328,45.593325
28,8.894736842105264,-73.663913,45.502648
31,6.168421052631579,-73.566842,45.512189
50,5.684210526315789,-73.540388,45.539928
55,7.434210526315789,-73.573896,45.651722
66,9.666666666666666,-73.741185,45.468297
80,7.2631578947368425,-73.572039,45.542767
99,7.723684210526316,-73.928944,45.426509
103,12.456140350877194,-73.582583,45.464611
